2021,Jan,1,18 days,WN,96.3,Cancer
2021,Jan,2,19 days,WN,91.3,Cancer
2021,Jan,3,20 days,WN,84.4,Leo
2021,Jan,4,21 days,WN,75.7,Leo
2021,Jan,5,22 days,WN,65.6,Virgo
2021,Jan,6,23 days,Q3,54.7,Virgo
2021,Jan,7,24 days,WN,43.3,Virgo
2021,Jan,8,25 days,WN,32.2,Libra
2021,Jan,9,26 days,WN,21.9,Libra
2021,Jan,10,27 days,WN,13.1,Scorpius
2021,Jan,11,28 days,WN,6.3,Ophiuchus
2021,Jan,12,29 days,NE,1.9,Sagittarius
2021,Jan,13,30 days,WX,0.1,Sagittarius
2021,Jan,14,01 days,WX,0.9,Capricornus
2021,Jan,15,02 days,WX,4,Capricornus
2021,Jan,16,03 days,WX,9.2,Aquarius
2021,Jan,17,04 days,WX,15.9,Aquarius
2021,Jan,18,05 days,WX,23.9,Aquarius
2021,Jan,19,06 days,WX,32.6,Cetus
2021,Jan,20,07 days,Q1,41.9,Pisces
2021,Jan,21,08 days,WX,51.3,Pisces
2021,Jan,22,09 days,WX,60.6,Aries
2021,Jan,23,10 days,WX,69.6,Taurus
2021,Jan,24,11 days,WX,78,Taurus
2021,Jan,25,12 days,WX,85.5,Taurus
2021,Jan,26,13 days,WX,91.7,Gemini
2021,Jan,27,14 days,WX,96.4,Gemini
2021,Jan,28,15 days,FU,99.2,Cancer
2021,Jan,29,16 days,WN,99.8,Cancer
2021,Jan,30,17 days,WN,98.1,Leo
2021,Jan,31,18 days,WN,94,Leo
2021,Feb,1,19 days,WN,87.7,Virgo
2021,Feb,2,20 days,WN,79.3,Virgo
2021,Feb,3,21 days,WN,69.4,Virgo
2021,Feb,4,22 days,Q3,58.5,Virgo
2021,Feb,5,23 days,WN,47.1,Libra
2021,Feb,6,24 days,WN,35.9,Scorpius
2021,Feb,7,25 days,WN,25.5,Ophiuchus
2021,Feb,8,26 days,WN,16.4,Sagittarius
2021,Feb,9,27 days,WN,9.1,Sagittarius
2021,Feb,10,28 days,WN,3.8,Sagittarius
2021,Feb,11,29 days,NE,0.9,Capricornus
2021,Feb,12,01 days,WX,0.2,Capricornus
2021,Feb,13,02 days,WX,1.8,Aquarius
2021,Feb,14,03 days,WX,5.3,Aquarius
2021,Feb,15,04 days,WX,10.6,Pisces
2021,Feb,16,05 days,WX,17.3,Cetus
2021,Feb,17,06 days,WX,25.1,Pisces
2021,Feb,18,07 days,WX,33.6,Aries
2021,Feb,19,08 days,Q1,42.8,Aries
2021,Feb,20,09 days,WX,52.2,Taurus
2021,Feb,21,10 days,WX,61.6,Taurus
2021,Feb,22,11 days,WX,70.8,Taurus
2021,Feb,23,12 days,WX,79.4,Gemini
2021,Feb,24,13 days,WX,87,Gemini
2021,Feb,25,14 days,WX,93.2,Cancer
2021,Feb,26,15 days,WX,97.5,Leo
2021,Feb,27,16 days,FU,99.7,Leo
2021,Feb,28,17 days,WN,99.2,Leo
2021,Mar,1,18 days,WN,96.1,Virgo
2021,Mar,2,19 days,WN,90.5,Virgo
2021,Mar,3,20 days,WN,82.5,Virgo
2021,Mar,4,21 days,WN,72.9,Libra
2021,Mar,5,22 days,Q3,62.1,Libra
2021,Mar,6,23 days,WN,50.8,Ophiuchus
2021,Mar,7,24 days,WN,39.7,Sagittarius
2021,Mar,8,25 days,WN,29.3,Sagittarius
2021,Mar,9,26 days,WN,20,Sagittarius
2021,Mar,10,27 days,WN,12.2,Capricornus
2021,Mar,11,28 days,WN,6.3,Capricornus
2021,Mar,12,29 days,WN,2.3,Aquarius
